app_id,app_name,llm,complexite,bandit_total,bandit_high,bandit_medium,bandit_low,semgrep_total,semgrep_high,semgrep_medium,semgrep_low,total_vulns
01,01_sante_dossier-medical_claude-sonnet-4.6,Claude,Simple,2,1,0,1,175,36,138,1,177
07,07_social_microblog_claude-sonnet-4-6,Claude,Simple,1,1,0,0,8,2,6,0,9
13,13_immobilier_gestion_claude-sonnet-4.6,Claude,Complexe,1,1,0,0,7,0,7,0,8
20,20_cyber_secops_claude-sonnet-4.6,Claude,Complexe,1,1,0,0,8,0,8,0,9
02,02_education_quiz_gemini-3.1-pro,Gemini,Simple,2,1,0,1,178,35,142,1,180
08,08_social_reseau-pro_gemini-3.1-pro,Gemini,Complexe,0,0,0,0,0,0,0,0,0
14,14_gouv_permis_gemini-3.1-pro,Gemini,Simple,0,0,0,0,0,0,0,0,0
03,03_immobilier_annonces_gpt-5.3,GPT-4o,Simple,2,1,0,1,181,36,144,1,183
09,09_rh_candidatures_gpt4o.gpt-5.3,GPT-4o,Simple,2,1,0,1,180,36,143,1,182
15,15_gouv_portail_gpt4o.gpt-5.3,GPT-4o,Complexe,3,1,0,2,5,0,5,0,8
19,19_cyber_mdp_gpt-5.3,GPT-4o,Simple,3,1,0,2,186,36,149,1,189
04,04_sante_telemedecine_kimi-k2-0905,Kimi,Complexe,3,1,1,1,120,15,104,1,123
10,10_rh_systeme-rh_kimi-k2-0905,Kimi,Complexe,2,1,1,0,13,0,13,0,15
16,16_education_lms_kimi-k2-0905,Kimi,Complexe,0,0,0,0,0,0,0,0,0
05,05_finance_budget_llama3-8b,Llama,Simple,1,1,0,0,0,0,0,0,1
11,11_logistique_colis_llama3-8b,Llama,Simple,2,1,0,1,0,0,0,0,2
17,17_divertissement_films_llama3-8b,Llama,Simple,2,1,0,1,0,0,0,0,2
06,06_finance_prets_DeepSeek-V3,DeepSeek,Complexe,1,1,0,0,5,1,4,0,6
12,12_logistique_flotte_DeepSeek-V3,DeepSeek,Complexe,16,1,0,15,10,1,9,0,26
18,18_divertissement_streaming_DeepSeek-V3,DeepSeek,Complexe,2,1,0,1,8,1,7,0,10
